E,J,e/f,State,v,Lambda,Sigma,L
51081.580508,2.5,f,2,9,0,-0.5,8.001
35750.301684,3.5,f,2,1,0,0.5,8.001
38526.701127,3.5,f,2,2,0,0.5,8.001
41102.640277,3.5,f,2,3,0,0.5,8.001
43469.953129,3.5,f,2,4,0,0.5,8.001
45610.447567,3.5,f,2,5,0,0.5,8.001
47510.319598,3.5,f,2,6,0,0.5,8.001
49109.412611,3.5,f,2,7,0,0.5,8.001
50344.187528,3.5,f,2,8,0,0.5,8.001
51127.407257,3.5,f,2,9,0,0.5,8.001
35622.641436,3.5,e,2,1,0,-0.5,8.001
38405.741671,3.5,e,2,2,0,-0.5,8.001
40988.429395,3.5,e,2,3,0,-0.5,8.001
43362.913545,3.5,e,2,4,0,-0.5,8.001
45514.387993,3.5,e,2,5,0,-0.5,8.001
47420.606136,3.5,e,2,6,0,-0.5,8.001
49030.371441,3.5,e,2,7,0,-0.5,8.001
50279.165465,3.5,e,2,8,0,-0.5,8.001
51081.885331,3.5,e,2,9,0,-0.5,8.001
35751.256462,4.5,e,2,1,0,0.5,8.001
38527.615264,4.5,e,2,2,0,0.5,8.001
41103.442413,4.5,e,2,3,0,0.5,8.001
43470.68508,4.5,e,2,4,0,0.5,8.001
45609.42368,4.5,e,2,5,0,0.5,8.001
47511.062529,4.5,e,2,6,0,0.5,8.001
49110.064829,4.5,e,2,7,0,0.5,8.001
50344.727185,4.5,e,2,8,0,0.5,8.001
51127.791536,4.5,e,2,9,0,0.5,8.001
35910.466355,4.5,f,2,1,0,-0.5,8.001
38678.448949,4.5,f,2,2,0,-0.5,8.001
41245.601518,4.5,f,2,3,0,-0.5,8.001
43604.14861,4.5,f,2,4,0,-0.5,8.001
45739.60379,4.5,f,2,5,0,-0.5,8.001
47621.47432,4.5,f,2,6,0,-0.5,8.001
49208.432454,4.5,f,2,7,0,-0.5,8.001
50425.176726,4.5,f,2,8,0,-0.5,8.001
36102.147959,5.5,f,2,1,0,0.5,8.001
38860.028448,5.5,f,2,2,0,0.5,8.001
41416.707391,5.5,f,2,3,0,0.5,8.001
43763.958586,5.5,f,2,4,0,0.5,8.001
45886.837844,5.5,f,2,5,0,0.5,8.001
47759.86054,5.5,f,2,6,0,0.5,8.001
49326.048614,5.5,f,2,7,0,0.5,8.001
50521.283625,5.5,f,2,8,0,0.5,8.001
35911.631155,5.5,e,2,1,0,-0.5,8.001
38679.564074,5.5,e,2,2,0,-0.5,8.001
41246.661414,5.5,e,2,3,0,-0.5,8.001
43605.060653,5.5,e,2,4,0,-0.5,8.001
45740.435764,5.5,e,2,5,0,-0.5,8.001
